file_name,emiten_code,year,status,error_message,total_pages,text_pages,image_pages,ocr_pages,direct_extract_pages,total_extracted_chars,ocr_input_tokens,ocr_output_tokens,ocr_estimated_cost_usd,processing_time_seconds,timestamp_processed,note
BTON_2024.pdf,BTON,2024,success,,213,205,8,0,213,724000,0,0,0.0,11.26,2026-03-18T16:43:31.651232,large_doc_pymupdf_only
BTPN_2023.pdf,BTPN,2023,success,,632,615,17,0,632,1919365,0,0,0.0,16.27,2026-03-18T16:43:39.921830,large_doc_pymupdf_only
BTPS_2024.pdf,BTPS,2024,success,,655,622,33,0,655,1652417,0,0,0.0,20.18,2026-03-18T16:44:00.165006,large_doc_pymupdf_only
BTPN_2024.pdf,BTPN,2024,success,,669,641,28,0,669,2065511,0,0,0.0,22.72,2026-03-18T16:44:02.672895,large_doc_pymupdf_only
BTPS_2022.pdf,BTPS,2022,success,,650,621,29,0,650,1635448,0,0,0.0,22.75,2026-03-18T16:44:02.734608,large_doc_pymupdf_only
BTPS_2023.pdf,BTPS,2023,success,,610,569,41,0,610,1701356,0,0,0.0,30.78,2026-03-18T16:44:10.763169,large_doc_pymupdf_only
BUAH_2022.pdf,BUAH,2022,success,,230,221,9,0,230,719549,0,0,0.0,12.86,2026-03-18T16:44:13.305823,large_doc_pymupdf_only
BUAH_2023.pdf,BUAH,2023,success,,254,243,11,0,254,819955,0,0,0.0,10.85,2026-03-18T16:44:13.735214,large_doc_pymupdf_only
BUDI_2022.pdf,BUDI,2022,success,,208,174,34,0,208,618734,0,0,0.0,11.27,2026-03-18T16:44:22.140982,large_doc_pymupdf_only
BUAH_2024.pdf,BUAH,2024,success,,242,226,16,0,242,771796,0,0,0.0,20.31,2026-03-18T16:44:23.403282,large_doc_pymupdf_only
BUDI_2023.pdf,BUDI,2023,success,,218,204,14,0,218,629503,0,0,0.0,13.61,2026-03-18T16:44:27.038365,large_doc_pymupdf_only
BUDI_2024.pdf,BUDI,2024,success,,244,219,25,0,244,700412,0,0,0.0,13.3,2026-03-18T16:44:27.196534,large_doc_pymupdf_only
BUKA_2023.pdf,BUKA,2023,success,,474,459,15,0,474,1333791,0,0,0.0,10.35,2026-03-18T16:44:33.984279,large_doc_pymupdf_only
BUKA_2022.pdf,BUKA,2022,success,,458,446,12,0,458,1493076,0,0,0.0,13.06,2026-03-18T16:44:35.559202,large_doc_pymupdf_only
BUKK_2023.pdf,BUKK,2023,success,,1,0,1,1,0,3812,1129,732,0.00138025,5.6,2026-03-18T16:44:39.629684,
BUKA_2024.pdf,BUKA,2024,success,,2,2,0,2,0,7732,2258,1657,0.00305,15.82,2026-03-18T16:44:42.974441,
BUKK_2024.pdf,BUKK,2024,success,,1,1,0,1,0,3814,1129,732,0.00138025,8.99,2026-03-18T16:44:44.549190,
BULL_2022.pdf,BULL,2022,success,,282,273,9,0,282,963283,0,0,0.0,5.78,2026-03-18T16:44:45.415121,large_doc_pymupdf_only
BUKK_2022.pdf,BUKK,2022,success,,2,0,2,2,0,7267,2258,1468,0.0027665,18.25,2026-03-18T16:44:45.846330,
BUMI.SI_2022.pdf,BUMI.SI,2022,success,,142,139,3,0,142,378521,0,0,0.0,4.26,2026-03-18T16:44:49.799655,large_doc_pymupdf_only
BULL_2023.pdf,BULL,2023,success,,290,269,21,0,290,945077,0,0,0.0,9.89,2026-03-18T16:44:53.075484,large_doc_pymupdf_only
BUMI.SI_2023.pdf,BUMI.SI,2023,success,,144,141,3,0,144,423037,0,0,0.0,8.13,2026-03-18T16:44:54.149412,large_doc_pymupdf_only
BULL_2024.pdf,BULL,2024,success,,2,2,0,2,0,11927,2258,2218,0.0038915,13.83,2026-03-18T16:44:58.557308,
BUVA_2022.pdf,BUVA,2022,success,,294,276,18,0,294,988232,0,0,0.0,11.35,2026-03-18T16:45:05.666505,large_doc_pymupdf_only
BUMI_2023.pdf,BUMI,2023,success,,488,471,17,0,488,1587521,0,0,0.0,19.7,2026-03-18T16:45:09.592353,large_doc_pymupdf_only
BUVA_2023.pdf,BUVA,2023,success,,350,345,5,0,350,1089601,0,0,0.0,14.05,2026-03-18T16:45:13.064241,large_doc_pymupdf_only
BUMI_2024.pdf,BUMI,2024,success,,491,483,8,0,491,1659400,0,0,0.0,20.11,2026-03-18T16:45:13.384514,large_doc_pymupdf_only
BUVA_2024.pdf,BUVA,2024,success,,322,310,12,0,322,976035,0,0,0.0,20.65,2026-03-18T16:45:26.704541,large_doc_pymupdf_only
BWPT_2022.pdf,BWPT,2022,success,,198,186,12,0,198,622188,0,0,0.0,9.24,2026-03-18T16:45:36.212625,large_doc_pymupdf_only
BVIC_2023.pdf,BVIC,2023,success,,648,625,23,0,648,2266345,0,0,0.0,23.12,2026-03-18T16:45:36.319312,large_doc_pymupdf_only
BVIC_2022.pdf,BVIC,2022,success,,764,741,23,0,764,2678554,0,0,0.0,27.19,2026-03-18T16:45:37.108037,large_doc_pymupdf_only
BVIC_2024.pdf,BVIC,2024,success,,651,647,4,0,651,2442491,0,0,0.0,25.2,2026-03-18T16:45:38.823681,large_doc_pymupdf_only
BYAN_2022.pdf,BYAN,2022,success,,287,261,26,0,287,1016644,0,0,0.0,17.19,2026-03-18T16:45:54.703703,large_doc_pymupdf_only
BYAN_2023.pdf,BYAN,2023,success,,304,278,26,0,304,1070040,0,0,0.0,15.74,2026-03-18T16:45:54.881405,large_doc_pymupdf_only
BWPT_2024.pdf,BWPT,2024,success,,305,291,14,0,305,977711,0,0,0.0,19.25,2026-03-18T16:45:55.785393,large_doc_pymupdf_only
BWPT_2023.pdf,BWPT,2023,success,,284,168,116,0,284,517039,0,0,0.0,22.13,2026-03-18T16:45:58.554628,large_doc_pymupdf_only
BYAN_2024.pdf,BYAN,2024,success,,284,260,24,0,284,1009723,0,0,0.0,6.66,2026-03-18T16:46:01.660888,large_doc_pymupdf_only
CAKK_2022.pdf,CAKK,2022,success,,1,1,0,1,0,4812,1129,1013,0.00180175,7.5,2026-03-18T16:46:02.656818,
CAKK_2023.pdf,CAKK,2023,success,,340,336,4,0,340,1116543,0,0,0.0,7.5,2026-03-18T16:46:03.402654,large_doc_pymupdf_only
CAKK_2024.pdf,CAKK,2024,success,,1,1,0,1,0,4468,1129,1066,0.00188125,7.94,2026-03-18T16:46:06.645590,
CAMP_2023.pdf,CAMP,2023,success,,140,138,2,0,140,782020,0,0,0.0,11.34,2026-03-18T16:46:14.081292,large_doc_pymupdf_only
CAMP_2022.pdf,CAMP,2022,success,,234,209,25,0,234,620012,0,0,0.0,13.29,2026-03-18T16:46:15.073579,large_doc_pymupdf_only
CANI_2022.pdf,CANI,2022,success,,240,232,8,0,240,737741,0,0,0.0,10.96,2026-03-18T16:46:17.778102,large_doc_pymupdf_only
CAMP_2024.pdf,CAMP,2024,success,,240,223,17,0,240,769828,0,0,0.0,16.02,2026-03-18T16:46:19.624808,large_doc_pymupdf_only
CANI_2023.pdf,CANI,2023,success,,238,220,18,0,238,717462,0,0,0.0,11.29,2026-03-18T16:46:25.750675,large_doc_pymupdf_only
CARE_2022.pdf,CARE,2022,success,,272,257,15,0,272,841830,0,0,0.0,10.55,2026-03-18T16:46:25.756595,large_doc_pymupdf_only
CARE_2024.pdf,CARE,2024,success,,270,251,19,0,270,848558,0,0,0.0,10.89,2026-03-18T16:46:30.622387,large_doc_pymupdf_only
CARE_2023.pdf,CARE,2023,success,,2,0,2,2,0,10073,2246,2127,0.003752,24.06,2026-03-18T16:46:42.323132,
CARS_2022.pdf,CARS,2022,success,,462,451,11,0,462,1664501,0,0,0.0,17.09,2026-03-18T16:46:42.931890,large_doc_pymupdf_only
CARS_2023.pdf,CARS,2023,success,,464,442,22,0,464,1551068,0,0,0.0,18.19,2026-03-18T16:46:44.100676,large_doc_pymupdf_only
CARS_2024.pdf,CARS,2024,success,,435,424,11,0,435,1413018,0,0,0.0,16.08,2026-03-18T16:46:46.868929,large_doc_pymupdf_only
CASA_2022.pdf,CASA,2022,success,,398,355,43,0,398,1077199,0,0,0.0,7.17,2026-03-18T16:46:49.590812,large_doc_pymupdf_only
CASA_2023.pdf,CASA,2023,success,,338,326,12,0,338,1083962,0,0,0.0,14.03,2026-03-18T16:47:03.644390,large_doc_pymupdf_only
CASA_2024.pdf,CASA,2024,success,,386,366,20,0,386,1253338,0,0,0.0,18.99,2026-03-18T16:47:08.613354,large_doc_pymupdf_only
CASH_2024.pdf,CASH,2024,success,,416,390,26,0,416,1207573,0,0,0.0,14.96,2026-03-18T16:47:18.820118,large_doc_pymupdf_only
CASH_2022.pdf,CASH,2022,success,,265,260,5,0,265,1007692,0,0,0.0,37.21,2026-03-18T16:47:26.844151,large_doc_pymupdf_only
CASS_2022.pdf,CASS,2022,success,,2,2,0,2,0,6063,2258,1469,0.002768,18.58,2026-03-18T16:47:27.280443,
CASH_2023.pdf,CASH,2023,success,,297,273,24,0,297,948860,0,0,0.0,38.92,2026-03-18T16:47:28.576676,large_doc_pymupdf_only
CBDK_2024.pdf,CBDK,2024,success,,264,245,19,0,264,828662,0,0,0.0,5.86,2026-03-18T16:47:33.251243,large_doc_pymupdf_only
CASS_2023.pdf,CASS,2023,success,,2,2,0,2,0,5215,2258,1277,0.00248,16.0,2026-03-18T16:47:34.982055,
CBMF_2022.pdf,CBMF,2022,success,,223,0,223,0,223,0,0,0,0.0,8.13,2026-03-18T16:47:36.797955,large_doc_pymupdf_only
CASS_2024.pdf,CASS,2024,success,,2,2,0,2,0,6141,2258,1454,0.0027455,12.61,2026-03-18T16:47:39.593403,
CBPE_2023.pdf,CBPE,2023,success,,232,216,16,0,232,652078,0,0,0.0,6.24,2026-03-18T16:47:41.270112,large_doc_pymupdf_only
CBUT_2022.pdf,CBUT,2022,success,,302,281,21,0,302,813089,0,0,0.0,13.33,2026-03-18T16:47:50.230038,large_doc_pymupdf_only
CBUT_2023.pdf,CBUT,2023,success,,314,289,25,0,314,929646,0,0,0.0,13.19,2026-03-18T16:47:52.923804,large_doc_pymupdf_only
CBPE_2022.pdf,CBPE,2022,success,,2,0,2,2,0,9200,2258,2183,0.003839,19.68,2026-03-18T16:47:53.042953,
CBUT_2024.pdf,CBUT,2024,success,,332,318,14,0,332,1011447,0,0,0.0,23.16,2026-03-18T16:48:04.559403,large_doc_pymupdf_only
CCSI_2022.pdf,CCSI,2022,success,,302,282,20,0,302,1037935,0,0,0.0,23.02,2026-03-18T16:48:13.466592,large_doc_pymupdf_only
CDIA_2024.pdf,CDIA,2024,success,,1,0,1,1,0,4670,1129,1048,0.00185425,9.32,2026-03-18T16:48:14.128714,
CCSI_2023.pdf,CCSI,2023,success,,300,285,15,0,300,1016074,0,0,0.0,21.83,2026-03-18T16:48:14.935780,large_doc_pymupdf_only
CCSI_2024.pdf,CCSI,2024,success,,335,321,14,0,335,1108652,0,0,0.0,22.41,2026-03-18T16:48:15.758454,large_doc_pymupdf_only
CEKA_2022.pdf,CEKA,2022,success,,219,212,7,0,219,618322,0,0,0.0,10.42,2026-03-18T16:48:23.936586,large_doc_pymupdf_only
CEKA_2024.pdf,CEKA,2024,success,,207,203,4,0,207,643047,0,0,0.0,10.02,2026-03-18T16:48:25.238828,large_doc_pymupdf_only
CEKA_2023.pdf,CEKA,2023,success,,235,219,16,0,235,728250,0,0,0.0,15.0,2026-03-18T16:48:29.239809,large_doc_pymupdf_only
CENT_2022.pdf,CENT,2022,success,,264,261,3,0,264,802245,0,0,0.0,16.1,2026-03-18T16:48:32.324705,large_doc_pymupdf_only
CENT_2023.pdf,CENT,2023,success,,298,278,20,0,298,869485,0,0,0.0,17.3,2026-03-18T16:48:41.397502,large_doc_pymupdf_only
CENT_2024.pdf,CENT,2024,success,,221,212,9,0,221,891319,0,0,0.0,17.84,2026-03-18T16:48:43.283442,large_doc_pymupdf_only
CFIN_2022.pdf,CFIN,2022,success,,379,366,13,0,379,1218040,0,0,0.0,17.42,2026-03-18T16:48:47.004708,large_doc_pymupdf_only
CFIN_2023.pdf,CFIN,2023,success,,408,394,14,0,408,1312602,0,0,0.0,23.46,2026-03-18T16:48:56.261594,large_doc_pymupdf_only
CGAS_2023.pdf,CGAS,2023,success,,312,283,29,0,312,841411,0,0,0.0,18.97,2026-03-18T16:49:02.515358,large_doc_pymupdf_only
CGAS_2024.pdf,CGAS,2024,success,,304,287,17,0,304,909061,0,0,0.0,32.79,2026-03-18T16:49:19.907193,large_doc_pymupdf_only
CFIN_2024.pdf,CFIN,2024,success,,408,383,25,0,408,1267898,0,0,0.0,48.78,2026-03-18T16:49:30.479097,large_doc_pymupdf_only
CHEM_2022.pdf,CHEM,2022,success,,175,152,23,0,175,409463,0,0,0.0,40.35,2026-03-18T16:49:36.717127,large_doc_pymupdf_only
CHEM_2023.pdf,CHEM,2023,success,,166,139,27,0,166,357949,0,0,0.0,35.27,2026-03-18T16:49:38.174945,large_doc_pymupdf_only
CHEM_2024.pdf,CHEM,2024,success,,184,164,20,0,184,445832,0,0,0.0,20.95,2026-03-18T16:49:41.618478,large_doc_pymupdf_only
CHIP_2022.pdf,CHIP,2022,success,,169,167,2,0,169,554748,0,0,0.0,11.79,2026-03-18T16:49:45.349228,large_doc_pymupdf_only
CHIP_2023.pdf,CHIP,2023,success,,206,187,19,0,206,621914,0,0,0.0,8.83,2026-03-18T16:49:45.667662,large_doc_pymupdf_only
CHIP_2024.pdf,CHIP,2024,success,,222,204,18,0,222,720619,0,0,0.0,9.79,2026-03-18T16:49:48.135810,large_doc_pymupdf_only
CINT_2022.pdf,CINT,2022,success,,303,296,7,0,303,1037565,0,0,0.0,16.61,2026-03-18T16:49:58.577714,large_doc_pymupdf_only
CITA_2022.pdf,CITA,2022,success,,231,222,9,0,231,786868,0,0,0.0,12.19,2026-03-18T16:50:00.514789,large_doc_pymupdf_only
CINT_2023.pdf,CINT,2023,success,,345,336,9,0,345,1169435,0,0,0.0,17.07,2026-03-18T16:50:02.525706,large_doc_pymupdf_only
CINT_2024.pdf,CINT,2024,success,,369,351,18,0,369,1284674,0,0,0.0,18.92,2026-03-18T16:50:04.845331,large_doc_pymupdf_only
CITA_2023.pdf,CITA,2023,success,,248,230,18,0,248,842395,0,0,0.0,14.35,2026-03-18T16:50:13.205712,large_doc_pymupdf_only
CITA_2024.pdf,CITA,2024,success,,286,255,31,0,286,921840,0,0,0.0,19.29,2026-03-18T16:50:19.961224,large_doc_pymupdf_only
CITY_2023.pdf,CITY,2023,success,,209,205,4,0,209,749774,0,0,0.0,18.47,2026-03-18T16:50:23.605172,large_doc_pymupdf_only
CITY_2022.pdf,CITY,2022,success,,185,174,11,0,185,643612,0,0,0.0,22.56,2026-03-18T16:50:25.223364,large_doc_pymupdf_only
CITY_2024.pdf,CITY,2024,success,,218,210,8,0,218,783597,0,0,0.0,15.1,2026-03-18T16:50:28.430081,large_doc_pymupdf_only
CLAY_2022.pdf,CLAY,2022,success,,340,190,150,0,340,678990,0,0,0.0,12.49,2026-03-18T16:50:32.711728,large_doc_pymupdf_only
CLEO_2022.pdf,CLEO,2022,success,,205,195,10,0,205,707146,0,0,0.0,11.71,2026-03-18T16:50:37.548409,large_doc_pymupdf_only
CLAY_2024.pdf,CLAY,2024,success,,2,0,2,2,0,7837,2258,1601,0.002966,15.55,2026-03-18T16:50:39.243027,
CLEO_2023.pdf,CLEO,2023,success,,232,225,7,0,232,792547,0,0,0.0,11.86,2026-03-18T16:50:40.440513,large_doc_pymupdf_only
CLEO_2024.pdf,CLEO,2024,success,,267,259,8,0,267,916822,0,0,0.0,10.1,2026-03-18T16:50:43.009422,large_doc_pymupdf_only
CLPI_2022.pdf,CLPI,2022,success,,204,196,8,0,204,505600,0,0,0.0,10.15,2026-03-18T16:50:53.193301,large_doc_pymupdf_only
CLPI_2023.pdf,CLPI,2023,success,,309,307,2,0,309,774211,0,0,0.0,10.92,2026-03-18T16:50:53.959247,large_doc_pymupdf_only
CLPI_2024.pdf,CLPI,2024,success,,294,290,4,0,294,832650,0,0,0.0,12.08,2026-03-18T16:50:55.119704,large_doc_pymupdf_only
CMNP_2022.pdf,CMNP,2022,success,,1,0,1,1,0,3475,1129,704,0.00133825,12.1,2026-03-18T16:50:55.148875,
