file_name,emiten_code,year,page_number,classification,extraction_method,raw_text_length,ocr_text_length,final_text_length,image_count,image_coverage_ratio,ocr_input_tokens,ocr_output_tokens,processing_time_ms,error
MFIN_2023.pdf,MFIN,2023,1,image,gemini_ocr,43,3985,3985,1,0.6684,1129,990,6725,
MFIN_2023.pdf,MFIN,2023,2,image,gemini_ocr,43,3890,3890,1,0.6684,1129,815,6254,
MFMI_2022.pdf,MFMI,2022,1,image,gemini_ocr,0,4478,4478,2,2.0018,1129,894,7588,
MGLV_2022.pdf,MGLV,2022,1,text,pymupdf,4862,0,4862,1,1.0,0,0,3,
META_2023.pdf,META,2023,1,image,gemini_ocr,0,2800,2800,1,0.0254,1129,576,8822,
META_2023.pdf,META,2023,2,image,gemini_ocr,0,2472,2472,1,0.0254,1129,563,7343,
META_2023.pdf,META,2023,3,image,gemini_ocr,0,3601,3601,1,0.0254,1129,737,6050,
MFMI_2023.pdf,MFMI,2023,1,image,gemini_ocr,0,3969,3969,1,1.012,1129,837,5896,
MFMI_2024.pdf,MFMI,2024,1,image,gemini_ocr,0,4437,4437,1,0.8107,1129,938,8280,
MGNA_2024.pdf,MGNA,2024,1,text,pymupdf,2950,0,2950,1,1.0,0,0,2,
MGNA_2022.pdf,MGNA,2022,1,image,gemini_ocr,0,2688,2688,3,1.4664,1129,607,4537,
MGNA_2023.pdf,MGNA,2023,1,image,gemini_ocr,0,2913,2913,3,1.495,1129,665,5047,
MGRO_2022.pdf,MGRO,2022,1,image,gemini_ocr,0,3895,3895,2,1.8066,1129,776,5343,
MGLV_2023.pdf,MGLV,2023,1,image,gemini_ocr,0,4657,4657,1,1.0,1129,1017,13692,
MGLV_2023.pdf,MGLV,2023,2,image,gemini_ocr,0,4943,4943,1,1.0,1129,950,6491,
MGRO_2023.pdf,MGRO,2023,1,image,gemini_ocr,81,4316,4316,2,1.9368,1129,960,6918,
MGRO_2023.pdf,MGRO,2023,2,image,gemini_ocr,102,4013,4013,1,1.0005,1129,819,5169,
MHKI_2024.pdf,MHKI,2024,1,image,gemini_ocr,0,3543,3543,1,0.9511,1129,818,7093,
MICE_2023.pdf,MICE,2023,1,image,gemini_ocr,0,4652,4652,1,1.0009,1129,1011,8418,
MICE_2023.pdf,MICE,2023,2,image,gemini_ocr,0,4290,4290,1,1.0009,1129,987,6764,
MIDI_2022.pdf,MIDI,2022,1,text,pymupdf,2845,0,2845,1,0.0254,0,0,4,
MIDI_2022.pdf,MIDI,2022,2,text,pymupdf,3561,0,3561,1,0.1106,0,0,6,
MIDI_2022.pdf,MIDI,2022,3,text,pymupdf,3422,0,3422,1,0.1106,0,0,5,
MIDI_2023.pdf,MIDI,2023,1,text,pymupdf,2840,0,2840,1,0.0182,0,0,4,
MIDI_2023.pdf,MIDI,2023,2,text,pymupdf,3453,0,3453,1,0.0182,0,0,5,
MIDI_2023.pdf,MIDI,2023,3,text,pymupdf,3328,0,3328,1,0.0182,0,0,5,
MIDI_2024.pdf,MIDI,2024,1,text,pymupdf,2838,0,2838,1,0.0254,0,0,5,
MIDI_2024.pdf,MIDI,2024,2,text,pymupdf,3515,0,3515,1,0.0254,0,0,5,
MGRO_2024.pdf,MGRO,2024,1,image,gemini_ocr,0,4307,4307,2,2.0018,1129,951,9388,
MGRO_2024.pdf,MGRO,2024,2,image,gemini_ocr,0,4030,4030,1,1.0009,1129,816,6331,
MIKA_2023.pdf,MIKA,2023,1,image,gemini_ocr,0,4128,4128,1,1.0009,1129,911,6145,
MHKI_2023.pdf,MHKI,2023,1,image,gemini_ocr,0,5159,5159,1,1.001,1129,1093,6834,
MHKI_2023.pdf,MHKI,2023,2,image,gemini_ocr,0,4056,4056,1,1.001,1129,899,8329,
MHKI_2023.pdf,MHKI,2023,3,image,gemini_ocr,0,4334,4334,1,1.001,1129,1042,6416,
MINA_2022.pdf,MINA,2022,1,text,pymupdf,5267,0,5267,4,2.0452,0,0,4,
MINA_2024.pdf,MINA,2024,1,text,pymupdf,5779,0,5779,4,2.0368,0,0,4,
MINA_2024.pdf,MINA,2024,2,text,pymupdf,4813,0,4813,4,2.0365,0,0,3,
MIKA_2022.pdf,MIKA,2022,1,image,gemini_ocr,0,4066,4066,1,1.0009,1129,830,9290,
MICE_2024.pdf,MICE,2024,1,image,gemini_ocr,0,4663,4663,1,1.0011,1129,1015,11526,
MICE_2024.pdf,MICE,2024,2,image,gemini_ocr,0,4283,4283,1,1.0035,1129,985,6192,
MIKA_2024.pdf,MIKA,2024,1,image,gemini_ocr,0,4069,4069,2,2.0018,1129,888,6903,
MIRA_2022.pdf,MIRA,2022,1,image,gemini_ocr,0,4442,4442,1,1.0,1129,936,9998,
MIRA_2022.pdf,MIRA,2022,2,image,gemini_ocr,0,4274,4274,1,1.0,1129,917,7959,
MIRA_2024.pdf,MIRA,2024,1,image,gemini_ocr,0,4459,4459,1,1.0,1129,938,8303,
MIRA_2024.pdf,MIRA,2024,2,image,gemini_ocr,0,4703,4703,1,1.0,1129,973,6553,
MIRA_2023.pdf,MIRA,2023,1,image,gemini_ocr,0,4458,4458,1,1.0,1129,937,15166,
MIRA_2023.pdf,MIRA,2023,2,image,gemini_ocr,0,4049,4049,1,1.0,1129,858,6865,
MITI_2022.pdf,MITI,2022,1,image,gemini_ocr,0,3975,3975,4,1.8068,1129,819,8024,
MKAP_2023.pdf,MKAP,2023,1,text,pymupdf,4366,0,4366,0,0.0,0,0,4,
MINE_2024.pdf,MINE,2024,1,image,gemini_ocr,0,2382,2382,4,1.5288,1129,507,5507,
MINE_2024.pdf,MINE,2024,2,image,gemini_ocr,0,2455,2455,3,1.5502,1129,621,5045,
MINE_2024.pdf,MINE,2024,3,image,gemini_ocr,0,2326,2326,4,1.6952,1129,587,6226,
MINE_2024.pdf,MINE,2024,4,image,gemini_ocr,0,2045,2045,5,1.7699,1129,516,4863,
MINE_2024.pdf,MINE,2024,5,image,gemini_ocr,0,2126,2126,4,1.7702,1129,564,7125,
MINE_2024.pdf,MINE,2024,6,image,gemini_ocr,0,2096,2096,4,1.622,1129,488,4418,
MITI_2023.pdf,MITI,2023,1,image,gemini_ocr,0,3043,3043,3,1.5107,1139,672,6105,
MITI_2023.pdf,MITI,2023,2,image,gemini_ocr,0,2361,2361,4,1.6273,1139,498,5982,
MITI_2023.pdf,MITI,2023,3,image,gemini_ocr,0,3485,3485,4,1.6078,1139,741,4442,
MKAP_2024.pdf,MKAP,2024,1,image,gemini_ocr,0,6464,6464,2,1.6329,1129,1471,7544,
MKAP_2024.pdf,MKAP,2024,2,image,gemini_ocr,0,5209,5209,2,1.6329,1129,985,8254,
MKPI_2022.pdf,MKPI,2022,1,image,gemini_ocr,0,5833,5833,1,0.9878,1129,1367,7588,
MKPI_2022.pdf,MKPI,2022,2,image,gemini_ocr,0,4067,4067,1,0.992,1129,760,6067,
MKNT_2023.pdf,MKNT,2023,1,image,gemini_ocr,0,4815,4815,1,1.0,1129,1155,6673,
MKNT_2023.pdf,MKNT,2023,2,image,gemini_ocr,0,5089,5089,1,1.0,1129,1090,7242,
MKNT_2023.pdf,MKNT,2023,3,image,gemini_ocr,0,4846,4846,1,1.0,1129,919,6936,
MKPI_2024.pdf,MKPI,2024,1,text,pymupdf,4619,0,4619,1,1.0,0,0,4,
MKPI_2024.pdf,MKPI,2024,2,text,pymupdf,4126,0,4126,1,1.0,0,0,3,
MKNT_2022.pdf,MKNT,2022,1,image,gemini_ocr,0,4904,4904,1,1.0,1129,1220,9462,
MKNT_2022.pdf,MKNT,2022,2,image,gemini_ocr,0,5154,5154,1,1.0,1129,1111,6303,
MKNT_2022.pdf,MKNT,2022,3,image,gemini_ocr,0,3923,3923,1,1.0,1129,726,8162,
MITI_2024.pdf,MITI,2024,1,image,gemini_ocr,0,2498,2498,4,1.4905,1129,598,5003,
MITI_2024.pdf,MITI,2024,2,image,gemini_ocr,0,2462,2462,4,1.4997,1129,667,4452,
MITI_2024.pdf,MITI,2024,3,image,gemini_ocr,0,1965,1965,5,1.5366,1129,514,4253,
MITI_2024.pdf,MITI,2024,4,image,gemini_ocr,0,2236,2236,5,1.5709,1129,548,5505,
MITI_2024.pdf,MITI,2024,5,image,gemini_ocr,0,2035,2035,4,1.4409,1129,533,3872,
MITI_2024.pdf,MITI,2024,6,image,gemini_ocr,0,1875,1875,5,1.602,1129,493,5208,
MITI_2024.pdf,MITI,2024,7,image,gemini_ocr,0,2126,2126,5,1.5536,1129,491,7600,
MLBI_2023.pdf,MLBI,2023,1,text,pymupdf,4723,0,4723,3,1.0027,0,0,4,
MLBI_2023.pdf,MLBI,2023,2,text,pymupdf,5014,0,5014,2,1.0203,0,0,4,
MLBI_2022.pdf,MLBI,2022,1,image,gemini_ocr,0,4415,4415,1,1.0,1129,797,5074,
MLIA_2022.pdf,MLIA,2022,1,text,pymupdf,5137,0,5137,0,0.0,0,0,6,
MKPI_2023.pdf,MKPI,2023,1,image,gemini_ocr,0,5852,5852,1,0.9943,1129,1369,7983,
MKPI_2023.pdf,MKPI,2023,2,image,gemini_ocr,0,3202,3202,1,0.9829,1129,690,7292,
MLIA_2023.pdf,MLIA,2023,1,image,gemini_ocr,0,5097,5097,1,1.0009,1129,1030,9045,
MLBI_2024.pdf,MLBI,2024,1,image,gemini_ocr,0,4626,4626,1,1.0,1129,995,5927,
MLBI_2024.pdf,MLBI,2024,2,image,gemini_ocr,0,5000,5000,1,1.0,1129,902,6397,
MLIA_2024.pdf,MLIA,2024,1,image,gemini_ocr,3,4345,4345,1,0.9666,1129,864,6139,
MLPL_2022.pdf,MLPL,2022,1,image,gemini_ocr,0,4594,4594,1,1.0,1129,960,9872,
MLPT_2022.pdf,MLPT,2022,1,text,pymupdf,242,0,242,1,0.6555,0,0,0,
MLPL_2024.pdf,MLPL,2024,1,image,gemini_ocr,98,4325,4325,1,0.8657,1129,904,6187,
MKTR_2024.pdf,MKTR,2024,1,image,gemini_ocr,0,2488,2488,3,1.53,1129,565,4205,
MKTR_2024.pdf,MKTR,2024,2,image,gemini_ocr,0,2236,2236,3,1.4878,1129,614,4936,
MKTR_2024.pdf,MKTR,2024,3,image,gemini_ocr,0,2076,2076,4,1.652,1129,515,4180,
MKTR_2024.pdf,MKTR,2024,4,image,gemini_ocr,0,2716,2716,4,1.5566,1129,669,5340,
MKTR_2024.pdf,MKTR,2024,5,image,gemini_ocr,0,2391,2391,4,1.6458,1129,606,4818,
MLPL_2023.pdf,MLPL,2023,1,image,gemini_ocr,0,4435,4435,1,1.0,1129,981,10786,
MLPT_2024.pdf,MLPT,2024,1,image,gemini_ocr,0,3245,3245,1,1.0009,1129,666,6568,
MMIX_2022.pdf,MMIX,2022,1,text,pymupdf,4252,0,4252,1,1.0,0,0,3,
MMIX_2022.pdf,MMIX,2022,2,image,gemini_ocr,0,3374,3374,1,1.0,1129,651,6431,
MLPT_2023.pdf,MLPT,2023,1,image,gemini_ocr,0,4519,4519,1,1.0,1129,943,8346,
MMIX_2023.pdf,MMIX,2023,1,image,gemini_ocr,0,4237,4237,21,1.68,1129,1021,5940,
MMIX_2023.pdf,MMIX,2023,2,image,gemini_ocr,0,4245,4245,10,1.6883,1129,804,5928,
MMLP_2024.pdf,MMLP,2024,1,text,pymupdf,4466,0,4466,1,0.0233,0,0,3,
MMLP_2024.pdf,MMLP,2024,2,text,pymupdf,4444,0,4444,1,0.0233,0,0,4,
