file_name,emiten_code,year,status,error_message,total_pages,text_pages,image_pages,ocr_pages,direct_extract_pages,total_extracted_chars,ocr_input_tokens,ocr_output_tokens,ocr_estimated_cost_usd,processing_time_seconds,timestamp_processed
ANTM_2022.pdf,ANTM,2022,success,,4,0,4,4,0,15858,4516,3345,0.0061465,21.76,2026-03-14T18:00:49.574981
ANTM_2024.pdf,ANTM,2024,success,,2,0,2,2,0,7249,2258,1756,0.0031985,11.71,2026-03-14T18:00:52.289288
APII_2022.pdf,APII,2022,success,,1,0,1,1,0,4483,1129,913,0.00165175,6.01,2026-03-14T18:00:58.298029
APIC_2023.pdf,APIC,2023,success,,2,0,2,2,0,8028,2258,1670,0.0030695,11.11,2026-03-14T18:00:58.598454
APIC_2024.pdf,APIC,2024,success,,2,0,2,2,0,8094,2258,1687,0.003095,10.99,2026-03-14T18:01:00.562364
APII_2023.pdf,APII,2023,success,,1,0,1,1,0,4922,1129,973,0.00174175,6.29,2026-03-14T18:01:04.590602
APIC_2022.pdf,APIC,2022,success,,3,0,3,3,0,11777,3387,2494,0.00458775,24.32,2026-03-14T18:01:06.334567
APLI_2022.pdf,APLI,2022,success,,3,0,3,3,0,8056,3387,1800,0.00354675,12.99,2026-03-14T18:01:13.555094
APLN_2023.pdf,APLN,2023,success,,1,1,0,0,1,219,0,0,0.0,0.05,2026-03-14T18:01:13.607748
ARCI_2022.pdf,ARCI,2022,success,,3,3,0,0,3,7086,0,0,0.0,0.02,2026-03-14T18:01:13.632868
ARCI_2023.pdf,ARCI,2023,success,,3,3,0,0,3,7467,0,0,0.0,0.1,2026-03-14T18:01:13.730617
ARCI_2024.pdf,ARCI,2024,success,,3,3,0,0,3,7186,0,0,0.0,0.04,2026-03-14T18:01:13.773963
APII_2024.pdf,APII,2024,success,,2,0,2,2,0,9474,2258,2074,0.0036755,16.06,2026-03-14T18:01:14.661207
APLI_2023.pdf,APLI,2023,success,,3,0,3,3,0,9520,3387,2159,0.00408525,12.67,2026-03-14T18:01:17.262484
APLI_2024.pdf,APLI,2024,success,,2,0,2,2,0,8737,2258,2051,0.003641,12.4,2026-03-14T18:01:18.735897
ARGO_2022.pdf,ARGO,2022,success,,1,0,1,1,0,4557,1129,877,0.00159775,6.23,2026-03-14T18:01:23.497364
AREA_2023.pdf,AREA,2023,success,,2,0,2,2,0,9004,2258,1887,0.003395,10.05,2026-03-14T18:01:23.827811
ARGO_2023.pdf,ARGO,2023,success,,1,0,1,1,0,4615,1129,998,0.00177925,8.98,2026-03-14T18:01:27.721235
ARII_2022.pdf,ARII,2022,success,,1,0,1,1,0,4869,1129,1056,0.00186625,4.53,2026-03-14T18:01:28.354008
ARGO_2024.pdf,ARGO,2024,success,,1,0,1,1,0,4134,1129,982,0.00175525,6.37,2026-03-14T18:01:29.864009
AREA_2024.pdf,AREA,2024,success,,3,0,3,3,0,12760,3387,2692,0.00488475,18.69,2026-03-14T18:01:33.353704
ARKA_2024.pdf,ARKA,2024,success,,1,1,0,0,1,3980,0,0,0.0,0.02,2026-03-14T18:01:33.377208
ARKO_2022.pdf,ARKO,2022,success,,2,2,0,0,2,8094,0,0,0.0,0.03,2026-03-14T18:01:33.405468
ARKA_2023.pdf,ARKA,2023,success,,1,0,1,1,0,3830,1129,944,0.00169825,6.96,2026-03-14T18:01:36.819820
ARII_2023.pdf,ARII,2023,success,,2,0,2,2,0,9915,2258,2001,0.003566,10.99,2026-03-14T18:01:38.710984
ARKO_2024.pdf,ARKO,2024,success,,2,1,1,1,1,8483,1129,820,0.00151225,5.15,2026-03-14T18:01:41.974291
ARII_2024.pdf,ARII,2024,success,,2,0,2,2,0,9923,2258,1996,0.0035585,13.95,2026-03-14T18:01:42.305682
ARKO_2023.pdf,ARKO,2023,success,,2,0,2,2,0,7771,2258,1422,0.0026975,9.35,2026-03-14T18:01:42.754235
ARSA.L_2023.pdf,ARSA.L,2023,success,,2,2,0,0,2,8824,0,0,0.0,0.03,2026-03-14T18:01:42.787564
ARTA_2022.pdf,ARTA,2022,success,,2,2,0,0,2,8426,0,0,0.0,0.22,2026-03-14T18:01:43.003714
ARTA_2023.pdf,ARTA,2023,success,,1,1,0,0,1,4668,0,0,0.0,0.11,2026-03-14T18:01:43.112989
ARTA_2024.pdf,ARTA,2024,success,,2,2,0,0,2,9310,0,0,0.0,0.19,2026-03-14T18:01:43.303326
ARTI_2023.pdf,ARTI,2023,success,,2,2,0,0,2,9566,0,0,0.0,0.08,2026-03-14T18:01:43.385973
ARTI_2024.pdf,ARTI,2024,success,,2,2,0,0,2,6825,0,0,0.0,0.15,2026-03-14T18:01:43.751015
ARNA_2022.pdf,ARNA,2022,success,,2,0,2,2,0,8224,2258,1798,0.0032615,12.12,2026-03-14T18:01:50.828191
ARNA_2023.pdf,ARNA,2023,success,,2,0,2,2,0,7424,2258,1539,0.002873,12.1,2026-03-14T18:01:54.077608
ARNA_2024.pdf,ARNA,2024,success,,2,0,2,2,0,7450,2258,1634,0.0030155,12.94,2026-03-14T18:01:55.247120
ARTO_2022.pdf,ARTO,2022,success,,3,0,3,3,0,25127,3387,5300,0.00879675,26.17,2026-03-14T18:02:09.919223
ASBI_2023.pdf,ASBI,2023,success,,1,0,1,1,0,5066,1129,1007,0.00179275,6.84,2026-03-14T18:02:16.779928
ASBI_2024.pdf,ASBI,2024,success,,1,0,1,1,0,5228,1129,1046,0.00185125,7.55,2026-03-14T18:02:17.488197
ASDM_2023.pdf,ASDM,2023,success,,2,2,0,0,2,7314,0,0,0.0,0.03,2026-03-14T18:02:17.520630
ASDM_2024.pdf,ASDM,2024,success,,2,2,0,0,2,7000,0,0,0.0,0.05,2026-03-14T18:02:17.788753
ASDM_2022.pdf,ASDM,2022,success,,2,0,2,2,0,5405,2258,1199,0.002363,10.69,2026-03-14T18:02:27.470631
ARTO_2024.pdf,ARTO,2024,success,,3,0,3,3,0,12020,3387,2616,0.00477075,18.89,2026-03-14T18:02:28.827382
ARTO_2023.pdf,ARTO,2023,success,,4,0,4,4,0,15955,4516,3378,0.006196,20.85,2026-03-14T18:02:30.780422
ASHA_2022.pdf,ASHA,2022,success,,2,2,0,0,2,9958,0,0,0.0,0.07,2026-03-14T18:02:30.855478
ASHA_2023.pdf,ASHA,2023,success,,2,2,0,0,2,9399,0,0,0.0,0.05,2026-03-14T18:02:30.909219
ASHA_2024.pdf,ASHA,2024,success,,2,2,0,0,2,9331,0,0,0.0,0.21,2026-03-14T18:02:31.121014
ASGR_2022.pdf,ASGR,2022,success,,3,0,3,3,0,12143,3387,2646,0.00481575,17.43,2026-03-14T18:02:35.215482
ASGR_2024.pdf,ASGR,2024,success,,2,0,2,2,0,8590,2258,1912,0.0034325,14.42,2026-03-14T18:02:43.246157
ASGR_2023.pdf,ASGR,2023,success,,4,0,4,4,0,15618,4516,3220,0.005959,23.21,2026-03-14T18:02:50.684315
ASII_2023.pdf,ASII,2023,success,,4,0,4,4,0,17553,4516,3563,0.0064735,23.31,2026-03-14T18:02:58.530142
ASJT_2023.pdf,ASJT,2023,success,,3,3,0,0,3,12614,0,0,0.0,0.18,2026-03-14T18:02:58.712347
ASJT_2024.pdf,ASJT,2024,success,,3,3,0,0,3,15643,0,0,0.0,0.65,2026-03-14T18:02:59.360788
ASII_2022.pdf,ASII,2022,success,,5,0,5,5,0,20153,5645,4158,0.00764825,28.24,2026-03-14T18:02:59.364398
ASLC_2023.pdf,ASLC,2023,success,,2,2,0,0,2,6576,0,0,0.0,0.05,2026-03-14T18:02:59.704966
ASLC_2024.pdf,ASLC,2024,success,,2,2,0,0,2,6569,0,0,0.0,0.03,2026-03-14T18:02:59.741398
ASJT_2022.pdf,ASJT,2022,success,,2,0,2,2,0,9718,2258,1998,0.0035615,11.66,2026-03-14T18:03:02.346379
ASLI_2023.pdf,ASLI,2023,success,,1,0,1,1,0,3719,1129,706,0.00134125,6.4,2026-03-14T18:03:06.138388
ASII_2024.pdf,ASII,2024,success,,4,0,4,4,0,17027,4516,3558,0.006466,28.01,2026-03-14T18:03:11.256403
ASMI_2024.pdf,ASMI,2024,success,,2,2,0,0,2,10319,0,0,0.0,0.06,2026-03-14T18:03:11.312390
ASLC_2022.pdf,ASLC,2022,success,,2,0,2,2,0,6546,2258,1364,0.0026105,12.8,2026-03-14T18:03:12.163032
